Epoch 0/19----------Train Loss: tensor(4.7479, device='cuda:0')
Train Loss: tensor(5.3241, device='cuda:0')
Train Loss: tensor(6.1733, device='cuda:0')
Train Loss: tensor(5.5850, device='cuda:0')
Train Loss: tensor(5.3625, device='cuda:0')
Train Loss: tensor(6.2069, device='cuda:0')
Train Loss: tensor(5.9173, device='cuda:0')
Train Loss: tensor(6.3008, device='cuda:0')
Train Loss: tensor(5.9466, device='cuda:0')
Train Loss: tensor(5.8590, device='cuda:0')
Train Loss: tensor(5.8179, device='cuda:0')
Train Loss: tensor(6.4843, device='cuda:0')
Train Loss: tensor(6.3063, device='cuda:0')
Train Loss: tensor(6.1806, device='cuda:0')
Train Loss: tensor(5.7811, device='cuda:0')
Train Loss: tensor(6.3932, device='cuda:0')
Train Loss: tensor(6.0102, device='cuda:0')
Train Loss: tensor(5.7870, device='cuda:0')
Train Loss: tensor(6.0951, device='cuda:0')
Train Loss: tensor(6.2599, device='cuda:0')
Train Loss: tensor(6.5264, device='cuda:0')
Train Loss: tensor(5.6490, device='cuda:0')
Train Loss: tensor(6.3075, device='cuda:0')
Train Loss: tensor(5.6313, device='cuda:0')
Train Loss: tensor(5.9114, device='cuda:0')
Train Loss: tensor(6.0379, device='cuda:0')
Train Loss: tensor(5.8847, device='cuda:0')
Train Loss: tensor(5.7897, device='cuda:0')
Train Loss: tensor(5.7221, device='cuda:0')
Train Loss: tensor(5.6628, device='cuda:0')
Train Loss: tensor(5.5458, device='cuda:0')
Train Loss: tensor(5.8130, device='cuda:0')
Train Loss: tensor(5.1679, device='cuda:0')
Train Loss: tensor(5.6160, device='cuda:0')
Train Loss: tensor(6.2500, device='cuda:0')
Train Loss: tensor(7.0062, device='cuda:0')
Train Loss: tensor(6.7767, device='cuda:0')
Train Loss: tensor(5.7014, device='cuda:0')
Train Loss: tensor(6.6831, device='cuda:0')
Train Loss: tensor(6.2991, device='cuda:0')
Train Loss: tensor(6.2425, device='cuda:0')
Train Loss: tensor(5.7126, device='cuda:0')
Train Loss: tensor(5.7669, device='cuda:0')
Train Loss: tensor(5.3805, device='cuda:0')
Train Loss: tensor(6.0676, device='cuda:0')
Train Loss: tensor(5.9589, device='cuda:0')
Train Loss: tensor(5.6558, device='cuda:0')
